ChEMBL ID,Name,UniProt Accessions,Type,Organism,Compounds,Activities,Tax ID,Species Group Flag
CHEMBL5069378,Zinc finger and BTB domain-containing protein 40,Q9NUA8,SINGLE PROTEIN,Homo sapiens,1,9,9606,FALSE
CHEMBL4913,3-oxoacyl-[acyl-carrier-protein] synthase 1,P0A953,SINGLE PROTEIN,Escherichia coli K-12,72,75,83333,FALSE
CHEMBL1743244,Nuclear receptor subfamily 1 group I member 2,O54915,SINGLE PROTEIN,Mus musculus,10,15,10090,FALSE
CHEMBL614440,Dickeya chrysanthemi,,ORGANISM,Dickeya chrysanthemi,80,83,556,FALSE
CHEMBL2406900,Ubiquitin carboxyl-terminal hydrolase 4,Q13107,SINGLE PROTEIN,Homo sapiens,11,12,9606,FALSE
CHEMBL3673,Beta-ketoacyl-ACP synthase III,P68795,SINGLE PROTEIN,Staphylococcus aureus subsp. aureus Mu50,4,4,158878,FALSE
CHEMBL1075105,Protein tyrosine phosphatase type IVA 2,Q12974,SINGLE PROTEIN,Homo sapiens,32,37,9606,FALSE
CHEMBL613029,Globisporangium middletonii,,ORGANISM,Globisporangium middletonii,1,3,82940,FALSE
CHEMBL4630758,5-hydroxytryptamine receptor 2A/Metabotropic glutamate receptor 2,P28223|Q14416,PROTEIN COMPLEX,Homo sapiens,17,187,9606,FALSE
CHEMBL612862,Albifimbria verrucaria,,ORGANISM,Albifimbria verrucaria,26,26,1859699,FALSE
CHEMBL5314321,Melanocyte,,CELL-LINE,Homo sapiens,10,14,9606,FALSE
CHEMBL2052038,Long-chain fatty acid transport protein 1,Q6PCB7,SINGLE PROTEIN,Homo sapiens,74,75,9606,FALSE
CHEMBL3627584,Mitogen-activated protein kinase kinase kinase MLK4,Q5TCX8,SINGLE PROTEIN,Homo sapiens,35,45,9606,FALSE
CHEMBL2285357,"Glutamine synthetase, chloroplastic",P25462,SINGLE PROTEIN,Zea mays,24,68,4577,FALSE
CHEMBL4215,Alpha-amylase,P06278,SINGLE PROTEIN,Bacillus licheniformis,21,22,1402,FALSE
CHEMBL2367080,Veronica hederifolia,,ORGANISM,Veronica hederifolia,21,28,202477,FALSE
CHEMBL1075589,SW1463,,CELL-LINE,Homo sapiens,112,113,9606,FALSE
CHEMBL5291663,Rhizomucor pusillus,,ORGANISM,Rhizomucor pusillus,13,18,4840,FALSE
CHEMBL1075546,NCI-H810,,CELL-LINE,Homo sapiens,109,111,9606,FALSE
CHEMBL5169179,tRNA (cytosine(72)-C(5))-methyltransferase NSUN6,Q8TEA1,SINGLE PROTEIN,Homo sapiens,10,10,9606,FALSE
CHEMBL4523354,Nicotinate phosphoribosyltransferase,Q6XQN6,SINGLE PROTEIN,Homo sapiens,22,37,9606,FALSE
CHEMBL5305023,Aminopeptidase,V5BWE3,SINGLE PROTEIN,Trypanosoma cruzi Dm28c,3327,3328,1416333,FALSE
CHEMBL4106152,CDK2/Cyclin O,P24941|P22674,PROTEIN COMPLEX,Homo sapiens,21,25,9606,FALSE
CHEMBL5169096,26S proteasome non-ATPase regulatory subunit 11,F1LMZ8,SINGLE PROTEIN,Rattus norvegicus,2,2,10116,FALSE
CHEMBL2622,Aldose reductase,P07943,SINGLE PROTEIN,Rattus norvegicus,2165,4016,10116,FALSE
CHEMBL1667671,"D,D-dipeptidase",Q9EYV8,SINGLE PROTEIN,Enterococcus faecium,1,3,1352,FALSE
CHEMBL3308941,Cathepsin Z,Q9R1T3,SINGLE PROTEIN,Rattus norvegicus,7,7,10116,FALSE
CHEMBL3325306,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",P30405,SINGLE PROTEIN,Homo sapiens,5,5,9606,FALSE
CHEMBL1075396,BFTC-905,,CELL-LINE,Homo sapiens,110,116,9606,FALSE
CHEMBL3638354,Endothelial lipase,Q8VBX1,SINGLE PROTEIN,Rattus norvegicus,2,2,10116,FALSE
CHEMBL1255154,5'-AMP-activated protein kinase catalytic subunit alpha-2,Q8BRK8,SINGLE PROTEIN,Mus musculus,12,24,10090,FALSE
CHEMBL4295558,Sensor protein kinase WalK family protein,A0A0H2UQD0,SINGLE PROTEIN,Streptococcus pneumoniae PCS8203,2,2,1159082,FALSE
CHEMBL4483224,A2780/Taxol,,CELL-LINE,Homo sapiens,147,363,9606,FALSE
CHEMBL5465223,Cereblon/NAD-dependent protein deacetylase sirtuin-7,Q9NRC8|Q96SW2,PROTEIN-PROTEIN INTERACTION,Homo sapiens,1,1,9606,FALSE
CHEMBL5465449,F98,,CELL-LINE,Rattus norvegicus,8,19,10116,FALSE
CHEMBL5291504,Bifunctional dihydrofolate reductase-thymidylate synthase,O02604,SINGLE PROTEIN,Plasmodium vivax,1,1,5855,FALSE
CHEMBL4105870,Vitamin K epoxide reductase complex subunit 1,Q6TEK4,SINGLE PROTEIN,Rattus norvegicus,15,15,10116,FALSE
CHEMBL4630669,Leishmania martiniquensis,,ORGANISM,Leishmania martiniquensis,20,61,1580590,FALSE
CHEMBL4483221,4T1.2,,CELL-LINE,Mus musculus,3,18,10090,FALSE
CHEMBL4630679,Tenacibaculum maritimum,,ORGANISM,Tenacibaculum maritimum,10,10,107401,FALSE
CHEMBL4105989,Lysyl oxidase homolog 3,P58215,SINGLE PROTEIN,Homo sapiens,29,44,9606,FALSE
CHEMBL5465249,Cereblon/Kelch-like ECH-associated protein 1,Q9Z2X8|Q8C7D2,PROTEIN-PROTEIN INTERACTION,Mus musculus,4,12,10090,FALSE
CHEMBL4296167,Cereblon/Aiolos,Q96SW2|Q9UKT9,PROTEIN-PROTEIN INTERACTION,Homo sapiens,113,207,9606,FALSE
CHEMBL5169174,Glucose-induced degradation protein 4 homolog,Q8IVV7,SINGLE PROTEIN,Homo sapiens,75,117,9606,FALSE
CHEMBL3038486,IKK epsilon/TBK1,Q14164|Q9UHD2,PROTEIN COMPLEX,Homo sapiens,53,53,9606,FALSE
CHEMBL5465488,Marinobacter nauticus,,ORGANISM,Marinobacter nauticus,11,11,2743,FALSE
CHEMBL3308923,Proteasome subunit beta type-3,P49720,SINGLE PROTEIN,Homo sapiens,8,72,9606,FALSE
CHEMBL2156,Atrial natriuretic peptide receptor B,P46197,SINGLE PROTEIN,Bos taurus,10,10,9913,FALSE
CHEMBL1075244,Thymidine phosphorylase,Q5FVR2,SINGLE PROTEIN,Rattus norvegicus,28,38,10116,FALSE
CHEMBL612754,Fusarium incarnatum,,ORGANISM,Fusarium incarnatum,9,10,298378,FALSE
CHEMBL4232,Spermidine synthase,P19623,SINGLE PROTEIN,Homo sapiens,14,17,9606,FALSE
CHEMBL3988590,PC4 and SFRS1-interacting protein,O75475,SINGLE PROTEIN,Homo sapiens,6,8,9606,FALSE
CHEMBL4483271,TIGK,,CELL-LINE,Homo sapiens,4,9,9606,FALSE
CHEMBL5291510,Coagulation factor XIII A chain,P12260,SINGLE PROTEIN,Bos taurus,8,8,9913,FALSE
CHEMBL3885653,Voltage-dependent L-type calcium channel subunit beta-1/alpha-1B/alpha-2/delta-1,P54290|Q02294|P54283,PROTEIN COMPLEX,Rattus norvegicus,25,26,10116,FALSE
CHEMBL5169134,"Neurolysin, mitochondrial",P42676,SINGLE PROTEIN,Rattus norvegicus,84,179,10116,FALSE
CHEMBL2311233,Dynamin-2,P39052,SINGLE PROTEIN,Rattus norvegicus,8,8,10116,FALSE
CHEMBL5291656,Streptomyces nigrescens,,ORGANISM,Streptomyces nigrescens,4,4,1920,FALSE
CHEMBL2367403,Root,,TISSUE,Piper nigrum,1,2,13216,FALSE
CHEMBL4523117,Sulfhydryl oxidase 1,O00391,SINGLE PROTEIN,Homo sapiens,5,7,9606,FALSE
CHEMBL2367426,Leaf,,TISSUE,Piper nigrum,1,3,13216,FALSE
CHEMBL2366756,Erwinia pyrifoliae,,ORGANISM,Erwinia pyrifoliae,1,1,79967,FALSE
CHEMBL613527,SISO,,CELL-LINE,Homo sapiens,64,82,9606,FALSE
CHEMBL2367162,Botryosphaeria kuwatsukai,,ORGANISM,Botryosphaeria kuwatsukai,1,2,2021124,FALSE
CHEMBL4050,FK506 binding protein 4,Q02790,SINGLE PROTEIN,Homo sapiens,225,279,9606,FALSE
CHEMBL613182,Ulva,,ORGANISM,Ulva,8,10,3118,TRUE
CHEMBL612809,WIL2,,CELL-LINE,Homo sapiens,120,182,9606,FALSE
CHEMBL3269,Galactoside 3(4)-L-fucosyltransferase,P21217,SINGLE PROTEIN,Homo sapiens,5,5,9606,FALSE
CHEMBL4554,Neurokinin 2 receptor,P16610,SINGLE PROTEIN,Rattus norvegicus,302,373,10116,FALSE
CHEMBL5093,Ribokinase,P0A9J6,SINGLE PROTEIN,Escherichia coli K-12,7,7,83333,FALSE
CHEMBL3430879,Retinoic acid receptor RXR-alpha/oxysterols receptor LXR-alpha,P19793|Q13133,PROTEIN COMPLEX,Homo sapiens,91,132,9606,FALSE
CHEMBL5641,"V-type proton ATPase subunit B, brain isoform",P21281,SINGLE PROTEIN,Homo sapiens,2,3,9606,FALSE
CHEMBL3065,Estrogen receptor alpha,P19785,SINGLE PROTEIN,Mus musculus,28,45,10090,FALSE
CHEMBL2366643,Taraxacum officinale,,ORGANISM,Taraxacum officinale,4,4,50225,FALSE
CHEMBL4185,Xaa-Pro dipeptidase,P12955,SINGLE PROTEIN,Homo sapiens,114,143,9606,FALSE
CHEMBL4739838,Stimulator of interferon genes protein,A0A2K5TV20,SINGLE PROTEIN,Macaca fascicularis,1,1,9541,FALSE
CHEMBL4523700,Protein cereblon/Cyclin-dependent kinase 6,Q00534|Q96SW2,PROTEIN-PROTEIN INTERACTION,Homo sapiens,51,124,9606,FALSE
CHEMBL4739863,Zinc finger CW-type PWWP domain protein 1,Q9H0M4,SINGLE PROTEIN,Homo sapiens,2,2,9606,FALSE
CHEMBL1075297,"Ornithine aminotransferase, mitochondrial",P29758,SINGLE PROTEIN,Mus musculus,4,4,10090,FALSE
CHEMBL4513198,Folsomia candida,,ORGANISM,Folsomia candida,2,2,158441,FALSE
CHEMBL4523985,UDP-glucuronosyltransferases (UGTs),P22310|P16662|O75795|P36537|P54855|Q9BY64|P06133|O60656|Q9HAW8|P0DTE4|P22309|P19224|Q9HAW7|Q9HAW9|P35503|P35504|Q6UWM9|O75310|P0DTE5,PROTEIN FAMILY,Homo sapiens,30,68,9606,FALSE
CHEMBL1764945,PHD finger protein 13,Q86YI8,SINGLE PROTEIN,Homo sapiens,2,2,9606,FALSE
CHEMBL612555,OVCAR-8,,CELL-LINE,Homo sapiens,45263,47793,9606,FALSE
CHEMBL5169269,BCL2A1/BAK1,Q16611|Q16548,PROTEIN-PROTEIN INTERACTION,Homo sapiens,4,4,9606,FALSE
CHEMBL1949492,Legumain,O89017,SINGLE PROTEIN,Mus musculus,24,24,10090,FALSE
CHEMBL4295763,Ras GTPase-activating-like protein IQGAP1,P46940,SINGLE PROTEIN,Homo sapiens,1,2,9606,FALSE
CHEMBL612583,Panc1005,,CELL-LINE,Homo sapiens,131,136,9606,FALSE
CHEMBL4295697,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,P04843,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL3879838,Transient receptor potential cation channel subfamily V member 3,Q8K424,SINGLE PROTEIN,Mus musculus,8,8,10090,FALSE
CHEMBL4296317,Cytochrome b,P00163,SINGLE PROTEIN,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1,7,559292,FALSE
CHEMBL1075539,NCI-H2405,,CELL-LINE,Homo sapiens,113,115,9606,FALSE
CHEMBL1287626,Adenosine receptor A3,Q0VC81,SINGLE PROTEIN,Bos taurus,3,3,9913,FALSE
CHEMBL3578,Aldehyde dehydrogenase dimeric NADP-preferring,P30838,SINGLE PROTEIN,Homo sapiens,187,312,9606,FALSE
CHEMBL1075074,ATP synthase subunit a,P0AB98,SINGLE PROTEIN,Escherichia coli K-12,7,7,83333,FALSE
CHEMBL4696,"Glycogen phosphorylase, muscle form",P00489,SINGLE PROTEIN,Oryctolagus cuniculus,836,1331,9986,FALSE
CHEMBL5417,Beta-mannosidase,Q9UUZ3,SINGLE PROTEIN,Aspergillus niger,1,1,5061,FALSE
CHEMBL3197,Muscarinic acetylcholine receptor M2,Q9ERZ4,SINGLE PROTEIN,Mus musculus,46,85,10090,FALSE
CHEMBL1075267,3-hydroxy-3-methylglutaryl-coenzyme A reductase,P09610,SINGLE PROTEIN,Mesocricetus auratus,17,17,10036,FALSE
CHEMBL3883311,Voltage-gated potassium channel KCNQ3/KCNQ5,O43525|Q9NR82,PROTEIN COMPLEX,Homo sapiens,36,37,9606,FALSE
CHEMBL612323,Globisporangium ultimum,,ORGANISM,Globisporangium ultimum,128,223,2052682,FALSE
CHEMBL4295594,"Alternative oxidase, mitochondrial",Q26710,SINGLE PROTEIN,Trypanosoma brucei brucei,63,66,5702,FALSE
CHEMBL346,Trichophyton benhamiae,,ORGANISM,Trichophyton benhamiae,1350,1686,63400,FALSE
CHEMBL4523268,Rho-related GTP-binding protein RhoG,P84096,SINGLE PROTEIN,Mus musculus,1,1,10090,FALSE
CHEMBL3313836,Toxin ParE,Q79EC5,SINGLE PROTEIN,Escherichia coli,70,71,562,FALSE
CHEMBL2366692,Clavigralla tomentosicollis,,ORGANISM,Clavigralla tomentosicollis,1,1,1295332,FALSE
CHEMBL5465204,Cereblon/Serine/threonine-protein kinase GAK,O14976|Q96SW2,PROTEIN-PROTEIN INTERACTION,Homo sapiens,1,1,9606,FALSE
CHEMBL2366964,Daphnia,,ORGANISM,Daphnia,1,1,6668,TRUE
CHEMBL4523398,Prolyl 3-hydroxylase OGFOD1,Q8N543,SINGLE PROTEIN,Homo sapiens,5,5,9606,FALSE
CHEMBL2367269,Amaranthus palmeri,,ORGANISM,Amaranthus palmeri,1,2,107608,FALSE
CHEMBL5465477,Hamigera insecticola,,ORGANISM,Hamigera insecticola,5,15,747541,FALSE
CHEMBL613662,Spleen,,TISSUE,Rattus norvegicus,104,303,10116,FALSE
CHEMBL612285,Caulobacter vibrioides,,ORGANISM,Caulobacter vibrioides,67,128,155892,FALSE
CHEMBL1075583,SNU-387,,CELL-LINE,Homo sapiens,159,174,9606,FALSE
CHEMBL613253,Pichia fermentans,,ORGANISM,Pichia fermentans,10,14,53655,FALSE
CHEMBL4523207,Tumor necrosis factor receptor superfamily member 6,P25445,SINGLE PROTEIN,Homo sapiens,4,11,9606,FALSE
CHEMBL613907,Bacillus spizizenii,,ORGANISM,Bacillus spizizenii,1521,1898,96241,FALSE
CHEMBL4523339,UDP-glucuronosyltransferase 1A1,Q64550,SINGLE PROTEIN,Rattus norvegicus,10,23,10116,FALSE
CHEMBL1293195,Endochitinase,P29029,SINGLE PROTEIN,Saccharomyces cerevisiae S288c,4,4,559292,FALSE
CHEMBL1250343,Serine palmitoyltransferase 1,O15269,SINGLE PROTEIN,Homo sapiens,4,9,9606,FALSE
CHEMBL2366828,Brassica rapa subsp. oleifera,,ORGANISM,Brassica rapa subsp. oleifera,634,1696,145471,FALSE
CHEMBL3714412,Toll-like receptor 1,Q15399,SINGLE PROTEIN,Homo sapiens,5,5,9606,FALSE
CHEMBL1075043,Guanyl-specific ribonuclease T1,P00651,SINGLE PROTEIN,Aspergillus oryzae (strain ATCC 42149 / RIB 40),21,24,510516,FALSE
CHEMBL1075208,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,Q9HVW7,SINGLE PROTEIN,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228),9,11,208964,FALSE
CHEMBL2073688,Solute carrier organic anion transporter family member 1C1,Q9ERB5,SINGLE PROTEIN,Mus musculus,9,11,10090,FALSE
CHEMBL3709,Growth hormone-releasing hormone receptor,Q02644,SINGLE PROTEIN,Rattus norvegicus,155,214,10116,FALSE
CHEMBL613820,Y79,,CELL-LINE,Homo sapiens,234,258,9606,FALSE
CHEMBL3309108,Taste receptor type 2 member 41,P59536,SINGLE PROTEIN,Homo sapiens,10,57,9606,FALSE
CHEMBL4845615,Saphenous artery,,TISSUE,Oryctolagus cuniculus,3,6,9986,FALSE
CHEMBL614495,Faza 967 clone 2,,CELL-LINE,Rattus norvegicus,12,12,10116,FALSE
CHEMBL3297640,Serine/threonine-protein kinase pim-1,P06803,SINGLE PROTEIN,Mus musculus,1,3,10090,FALSE
CHEMBL614802,H2981 cell line,,CELL-LINE,Homo sapiens,12,49,9606,FALSE
CHEMBL2046261,Prostaglandin E synthase,Q9JM51,SINGLE PROTEIN,Mus musculus,55,86,10090,FALSE
CHEMBL614785,NCI-H928,,CELL-LINE,,4,5,,FALSE
CHEMBL3341575,Mas-related G-protein coupled receptor member X1,Q8R4G1,SINGLE PROTEIN,Rattus norvegicus,26,44,10116,FALSE
CHEMBL614686,HX62 cell line,,CELL-LINE,Homo sapiens,39,48,9606,FALSE
CHEMBL4630858,Ubiquitin carboxyl-terminal hydrolase CYLD,Q9NQC7,SINGLE PROTEIN,Homo sapiens,5,5,9606,FALSE
CHEMBL613881,Huh-5-2,,CELL-LINE,Homo sapiens,377,386,9606,FALSE
CHEMBL1229012,Histone deacetylase complex subunit SAP130,Q9H0E3,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL1075116,DNA-binding protein inhibitor ID-1,P41134,SINGLE PROTEIN,Homo sapiens,15,18,9606,FALSE
CHEMBL4523407,Minor histocompatibility antigen H13,Q8TCT9,SINGLE PROTEIN,Homo sapiens,2,4,9606,FALSE
CHEMBL3213,Calcium-independent phospholipase A2,O60733,SINGLE PROTEIN,Homo sapiens,183,359,9606,FALSE
CHEMBL3833,Trace amine-associated receptor 1,Q923Y9,SINGLE PROTEIN,Rattus norvegicus,794,899,10116,FALSE
CHEMBL6174,Cytochrome c oxidase subunit 2,P00403,SINGLE PROTEIN,Homo sapiens,171,250,9606,FALSE
CHEMBL4106171,Superoxide dismutase 1/2,P00441|P04179,PROTEIN FAMILY,Homo sapiens,13,13,9606,FALSE
CHEMBL613993,KBALB-STK,,CELL-LINE,,21,25,,FALSE
CHEMBL4106173,Potassium voltage-gated channel subfamily A member 1/2 (Kv1.1/Kv1.2),P10499|P63142,PROTEIN FAMILY,Rattus norvegicus,1,8,10116,FALSE
CHEMBL613511,Jensen sarcoma,,CELL-LINE,Rattus norvegicus,6,11,10116,FALSE
CHEMBL4295691,Polymeric immunoglobulin receptor,P01833,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL614044,CEM-TK(-),,CELL-LINE,Homo sapiens,26,45,9606,FALSE
CHEMBL3661,Tubulin alpha-3 chain,Q71U36,SINGLE PROTEIN,Homo sapiens,2,2,9606,FALSE
CHEMBL5558,Voltage-gated T-type calcium channel alpha-1I subunit,Q9P0X4,SINGLE PROTEIN,Homo sapiens,360,426,9606,FALSE
CHEMBL5628,Ras-related C3 botulinum toxin substrate 1,P63001,SINGLE PROTEIN,Mus musculus,13,30,10090,FALSE
CHEMBL2457,"Arachidonate 15-lipoxygenase, type II",O15296,SINGLE PROTEIN,Homo sapiens,7035,7244,9606,FALSE
CHEMBL4651293,Soleus muscle,,TISSUE,Rattus norvegicus,12,51,10116,FALSE
CHEMBL614057,UT7,,CELL-LINE,Homo sapiens,26,30,9606,FALSE
CHEMBL3883322,Gamma-aminobutyric acid receptor subunit alpha-1/beta-2/beta-3/gamma-2,P18508|P62813|P63079|P63138,PROTEIN COMPLEX,Rattus norvegicus,12,56,10116,FALSE
CHEMBL4296473,Mahlavu,,CELL-LINE,Homo sapiens,125,294,9606,FALSE
CHEMBL2176843,Glycogen synthase kinase-3 alpha,Q2NL51,SINGLE PROTEIN,Mus musculus,1,3,10090,FALSE
CHEMBL4105898,C-type lectin domain family 4 member E,Q9ULY5,SINGLE PROTEIN,Homo sapiens,53,83,9606,FALSE
CHEMBL1770033,Solute carrier family 22 member 3,O88446,SINGLE PROTEIN,Rattus norvegicus,24,35,10116,FALSE
CHEMBL1741262,Plasmepsin IV,Q8IM16,SINGLE PROTEIN,Plasmodium falciparum 3D7,14,14,36329,FALSE
CHEMBL614769,NALL-1,,CELL-LINE,Homo sapiens,9,9,9606,FALSE
CHEMBL2317,NADH-ubiquinone oxidoreductase MLRQ subunit,O00483,SINGLE PROTEIN,Homo sapiens,2,4,9606,FALSE
CHEMBL1075070,Proteinase K,P06873,SINGLE PROTEIN,Engyodontium album,22,28,37998,FALSE
CHEMBL4316,Sodium/glucose cotransporter 2,P53792,SINGLE PROTEIN,Rattus norvegicus,15,17,10116,FALSE
CHEMBL3200,Sialidase 2,Q9Y3R4,SINGLE PROTEIN,Homo sapiens,233,382,9606,FALSE
CHEMBL4767,Vesicular acetylcholine transporter,Q16572,SINGLE PROTEIN,Homo sapiens,242,269,9606,FALSE
CHEMBL614284,Detroit 551,,CELL-LINE,Homo sapiens,287,353,9606,FALSE
CHEMBL3051,"Nitric oxide synthase, inducible",Q06518,SINGLE PROTEIN,Rattus norvegicus,229,258,10116,FALSE
CHEMBL2910,Dihydropteridine reductase,P11348,SINGLE PROTEIN,Rattus norvegicus,26,31,10116,FALSE
CHEMBL613667,Thymus,,TISSUE,Rattus norvegicus,18,78,10116,FALSE
CHEMBL5501,Histone acetyltransferase GCN5,Q92830,SINGLE PROTEIN,Homo sapiens,13966,14293,9606,FALSE
CHEMBL5465365,Receptor-interacting serine/threonine-protein kinase 3,Q9QZL0,SINGLE PROTEIN,Mus musculus,1,1,10090,FALSE
CHEMBL3430900,Interferon-induced guanylate-binding protein 1/Serine/threonine-protein kinase pim-1,P11309|P32455,PROTEIN-PROTEIN INTERACTION,Homo sapiens,44,47,9606,FALSE
CHEMBL4156,Aldolase,Q27744,SINGLE PROTEIN,Plasmodium falciparum,1,1,5833,FALSE
CHEMBL1287616,Sodium/nucleoside cotransporter 2,Q62773,SINGLE PROTEIN,Rattus norvegicus,24,36,10116,FALSE
CHEMBL5465490,Streptococcus parasuis,,ORGANISM,Streptococcus parasuis,2,4,1501662,FALSE
CHEMBL2535,Glucose transporter,P11166,SINGLE PROTEIN,Homo sapiens,14043,14777,9606,FALSE
CHEMBL5861,G protein-coupled receptor kinase 4,P32298,SINGLE PROTEIN,Homo sapiens,299,330,9606,FALSE
CHEMBL4296427,HFF-1,,CELL-LINE,Homo sapiens,191,229,9606,FALSE
CHEMBL5482994,GPR40-Galpha16,O14842|P30679,PROTEIN COMPLEX,Homo sapiens,4,7,9606,FALSE
CHEMBL3988587,Hypoxanthine phosphoribosyltransferase,A0A0J9TE27,SINGLE PROTEIN,Plasmodium vivax Mauritania I,23,23,1035515,FALSE
CHEMBL2425,Dihydrofolate reductase,Q07422,SINGLE PROTEIN,Toxoplasma gondii,788,1637,5811,FALSE
CHEMBL3988608,Hypoxanthine-guanine-xanthine phosphoribosyltransferase,P20035,SINGLE PROTEIN,Plasmodium falciparum (isolate FCR-3 / Gambia),25,25,5838,FALSE
CHEMBL4742280,Cereblon/Serine/threonine-protein kinase PLK1,P53350|Q96SW2,PROTEIN-PROTEIN INTERACTION,Homo sapiens,1,1,9606,FALSE
CHEMBL4295714,"Solute carrier family 2, facilitated glucose transporter member 2",P12336,SINGLE PROTEIN,Rattus norvegicus,5,24,10116,FALSE
CHEMBL5142,Histone deacetylase 3,O88895,SINGLE PROTEIN,Mus musculus,5,32,10090,FALSE
CHEMBL4295892,Trafficking protein particle complex subunit 5,Q8IUR0,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL4630811,Microsomal glutathione S-transferase 1,P08011,SINGLE PROTEIN,Rattus norvegicus,9,10,10116,FALSE
CHEMBL4295812,Peroxiredoxin-4,Q13162,SINGLE PROTEIN,Homo sapiens,1,2,9606,FALSE
CHEMBL2095228,Potassium-transporting ATPase,P18434|P19156,PROTEIN COMPLEX,Sus scrofa,426,475,9823,FALSE
CHEMBL1649060,Uncharacterized protein,E2R517,SINGLE PROTEIN,Canis familiaris,2,2,9615,FALSE
CHEMBL5465479,Mesomycoplasma hyopneumoniae,,ORGANISM,Mesomycoplasma hyopneumoniae,2,4,2099,FALSE
CHEMBL1287614,Equilibrative nucleoside transporter 2,O54699,SINGLE PROTEIN,Rattus norvegicus,12,20,10116,FALSE
